from,to,date,rating
twp,t,06_01_25,2
p30,fk,06_01_25,3
p30,mc,06_01_25,3
p30,t,06_01_25,3
p31,jb,06_01_25,2
jb,lp,06_01_25,2
jb,ep,06_01_25,2
jb,cc,06_01_25,2
p31,lp,06_01_25,3
p31,ep,06_01_25,3
p31,cc,06_01_25,3
p31,af,06_01_25,3
p32,cana,06_01_25,3
p32,jt,06_01_25,2
jt,cana,06_01_25,2
cana,t,06_01_25,3
cana,nas,06_01_25,3
p32,t,06_01_25,3
p32,nas,06_01_25,3
p32,ta,06_01_25,3
p32,pair,06_01_25,3
p33,grl,07_01_25,1
p33,dtjr,07_01_25,1
p33,rep,07_01_25,1
dtjr,grl,07_01_25,1
rep,grl,07_01_25,1
grl,pair,07_01_25,1
grl,nas,07_01_25,1
p33,pair,07_01_25,3
p33,nas,07_01_25,3
p33,af,07_01_25,3
p34,jnj,07_01_25,1
p34,usg,07_01_25,1
p34,edony,07_01_25,1
jnj,usg,07_01_25,1
jnj,edony,07_01_25,1
usg,aogo,07_01_25,1
jnj,aogo,07_01_25,1
p34,aogo,07_01_25,3
p35,grl,07_01_25,1
p35,dtjr,07_01_25,1
p35,rep,07_01_25,1
dtjr,grl,07_01_25,1
rep,grl,07_01_25,1
grl,pair,07_01_25,1
grl,nas,07_01_25,1
p35,pair,07_01_25,3
p35,nas,07_01_25,3
p35,af,07_01_25,3
p36,cana,08_01_25,1
p37,gn,08_01_25,2
p37,cali,08_01_25,3
gn,ep,08_01_25,2
gn,cc,08_01_25,2
gn,d,08_01_25,2
cali,ep,08_01_25,3
p37,ep,08_01_25,3
p37,cc,08_01_25,3
p37,dp,08_01_25,3
p37,pa,08_01_25,3
p38,gn,08_01_25,2
p38,la,08_01_25,2
gn,ep,08_01_25,2
la,ep,08_01_25,2
p38,ep,08_01_25,3
p38,pa,08_01_25,3
p39,jb,08_01_25,2
p39,fema,08_01_25,2
jb,ep,08_01_25,2
fema,ep,08_01_25,2
p39,ep,08_01_25,3
p39,pa,08_01_25,3
p40,jb,08_01_25,2
p40,gn,08_01_25,2
p40,la,08_01_25,2
jb,ep,08_01_25,2
gn,ep,08_01_25,2
la,ep,08_01_25,2
p40,ep,08_01_25,3
p40,pa,08_01_25,3
p40,hist,08_01_25,3
p41,jp,08_01_25,1
p41,rf,08_01_25,1
jp,ec,08_01_25,1
rf,ec,08_01_25,1
p41,ec,08_01_25,3
p42,jn,09_01_25,1
p43,iwr,09_01_25,3
p44,gn,09_01_25,2
p44,usa,09_01_25,3
gn,wf,09_01_25,2
usa,wf,09_01_25,2
gn,pa,09_01_25,2
p44,pa,09_01_25,3
p45,gn,09_01_25,2
p45,kb,09_01_25,2
p45,jb,09_01_25,2
p45,fema,09_01_25,2
p45,la,09_01_25,2
p45,wf,09_01_25,3
p45,pa,09_01_25,3
gn,wf,09_01_25,2
kb,wf,09_01_25,2
jb,wf,09_01_25,2
fema,wf,09_01_25,2
la,wf,09_01_25,2
