from,to,date,rating,,,,,,,,,,,,,,,,,,,,
p26,d,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p26,r,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p26,i39sd,28_01_26,1,,,,,,,,,,,,,,,,,,,,
suc,jeel,28_01_26,1,,,,,,,,,,,,,,,,,,,,
af,jeel,28_01_26,1,,,,,,,,,,,,,,,,,,,,
ta,jeel,28_01_26,1,,,,,,,,,,,,,,,,,,,,
ep,jeel,28_01_26,1,,,,,,,,,,,,,,,,,,,,
sec,jeel,28_01_26,1,,,,,,,,,,,,,,,,,,,,
erbas,suc,28_01_26,2,,,,,,,,,,,,,,,,,,,,
krri,suc,28_01_26,2,,,,,,,,,,,,,,,,,,,,
robr,suc,28_01_26,2,,,,,,,,,,,,,,,,,,,,
d,suc,28_01_26,2,,,,,,,,,,,,,,,,,,,,
jeel,r,28_01_26,1,,,,,,,,,,,,,,,,,,,,
erbas,d,28_01_26,2,,,,,,,,,,,,,,,,,,,,
krri,d,28_01_26,2,,,,,,,,,,,,,,,,,,,,
robr,d,28_01_26,2,,,,,,,,,,,,,,,,,,,,
d,ushor,28_01_26,2,,,,,,,,,,,,,,,,,,,,
jeel,ind,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jeel,i39sd,28_01_26,1,,,,,,,,,,,,,,,,,,,,
erbas,ind,28_01_26,3,,,,,,,,,,,,,,,,,,,,
krri,ind,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p27,suc,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p27,ta,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p27,ep,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p27,sec,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p27,brwi,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p27,grgo,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p27,haje,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p27,cong,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p27,d,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p27,r,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p27,io,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p27,ushor,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p27,ind,28_01_26,1,,,,,,,,,,,,,,,,,,,,
brwi,suc,28_01_26,1,,,,,,,,,,,,,,,,,,,,
brwi,ta,28_01_26,1,,,,,,,,,,,,,,,,,,,,
brwi,ep,28_01_26,1,,,,,,,,,,,,,,,,,,,,
brwi,sec,28_01_26,1,,,,,,,,,,,,,,,,,,,,
grgo,suc,28_01_26,2,,,,,,,,,,,,,,,,,,,,
d,suc,28_01_26,2,,,,,,,,,,,,,,,,,,,,
r,suc,28_01_26,1,,,,,,,,,,,,,,,,,,,,
grgo,d,28_01_26,2,,,,,,,,,,,,,,,,,,,,
grgo,haje,28_01_26,2,,,,,,,,,,,,,,,,,,,,
grgo,io,28_01_26,2,,,,,,,,,,,,,,,,,,,,
haje,ushor,28_01_26,3,,,,,,,,,,,,,,,,,,,,
io,ushor,28_01_26,3,,,,,,,,,,,,,,,,,,,,
brwi,ind,28_01_26,1,,,,,,,,,,,,,,,,,,,,
grgo,ind,28_01_26,2,,,,,,,,,,,,,,,,,,,,
r,ind,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p28,suc,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p28,ta,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p28,ep,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p28,sec,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p28,paco,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p28,spde,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p28,d,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p28,r,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p28,cong,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p28,ind,28_01_26,1,,,,,,,,,,,,,,,,,,,,
paco,suc,28_01_26,1,,,,,,,,,,,,,,,,,,,,
paco,ta,28_01_26,1,,,,,,,,,,,,,,,,,,,,
paco,ep,28_01_26,1,,,,,,,,,,,,,,,,,,,,
paco,sec,28_01_26,1,,,,,,,,,,,,,,,,,,,,
spde,suc,28_01_26,2,,,,,,,,,,,,,,,,,,,,
d,suc,28_01_26,2,,,,,,,,,,,,,,,,,,,,
r,suc,28_01_26,1,,,,,,,,,,,,,,,,,,,,
spde,d,28_01_26,2,,,,,,,,,,,,,,,,,,,,
d,cong,28_01_26,2,,,,,,,,,,,,,,,,,,,,
paco,r,28_01_26,1,,,,,,,,,,,,,,,,,,,,
spde,ind,28_01_26,2,,,,,,,,,,,,,,,,,,,,
paco,ind,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p29,suc,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p29,ta,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p29,ep,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p29,sec,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p29,jomi,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p29,iw,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p29,usdofaud,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p29,d,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p29,cong,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p29,usm,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jomi,suc,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jomi,ta,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jomi,ep,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jomi,sec,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jomi,io,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jomi,usdofaud,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jomi,cong,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jomi,usm,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p30,pair,27_01_26,3,,,,,,,,,,,,,,,,,,,,
p30,nas,27_01_26,3,,,,,,,,,,,,,,,,,,,,
p30,irq,27_01_26,2,,,,,,,,,,,,,,,,,,,,
p30,nalm,27_01_26,2,,,,,,,,,,,,,,,,,,,,
p30,usa,27_01_26,1,,,,,,,,,,,,,,,,,,,,
nalm,irq,27_01_26,2,,,,,,,,,,,,,,,,,,,,
nalm,pair,27_01_26,2,,,,,,,,,,,,,,,,,,,,
irq,pair,27_01_26,2,,,,,,,,,,,,,,,,,,,,
irq,nas,27_01_26,2,,,,,,,,,,,,,,,,,,,,
usa,pair,27_01_26,1,,,,,,,,,,,,,,,,,,,,
usa,nas,27_01_26,1,,,,,,,,,,,,,,,,,,,,
usa,nalm,27_01_26,2,,,,,,,,,,,,,,,,,,,,
usa,irq,27_01_26,2,,,,,,,,,,,,,,,,,,,,
p31,suc,27_01_26,3,,,,,,,,,,,,,,,,,,,,
p31,af,27_01_26,3,,,,,,,,,,,,,,,,,,,,
p31,ta,27_01_26,3,,,,,,,,,,,,,,,,,,,,
p31,ep,27_01_26,3,,,,,,,,,,,,,,,,,,,,
p31,sec,27_01_26,3,,,,,,,,,,,,,,,,,,,,
p31,d,27_01_26,2,,,,,,,,,,,,,,,,,,,,
p31,r,27_01_26,1,,,,,,,,,,,,,,,,,,,,
p31,trpo,27_01_26,1,,,,,,,,,,,,,,,,,,,,
p31,jibu,27_01_26,2,,,,,,,,,,,,,,,,,,,,
p31,cong,27_01_26,2,,,,,,,,,,,,,,,,,,,,
p31,ushor,27_01_26,2,,,,,,,,,,,,,,,,,,,,
p31,ind,27_01_26,1,,,,,,,,,,,,,,,,,,,,
trpo,suc,27_01_26,1,,,,,,,,,,,,,,,,,,,,
trpo,af,27_01_26,1,,,,,,,,,,,,,,,,,,,,
trpo,ta,27_01_26,1,,,,,,,,,,,,,,,,,,,,
trpo,ep,27_01_26,1,,,,,,,,,,,,,,,,,,,,
trpo,sec,27_01_26,1,,,,,,,,,,,,,,,,,,,,
jibu,suc,27_01_26,2,,,,,,,,,,,,,,,,,,,,
d,suc,27_01_26,2,,,,,,,,,,,,,,,,,,,,
jibu,d,27_01_26,2,,,,,,,,,,,,,,,,,,,,
d,cong,27_01_26,2,,,,,,,,,,,,,,,,,,,,
d,ushor,27_01_26,2,,,,,,,,,,,,,,,,,,,,
trpo,ind,27_01_26,1,,,,,,,,,,,,,,,,,,,,
jibu,ind,27_01_26,2,,,,,,,,,,,,,,,,,,,,
p32,ice,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p32,jacfre,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p32,th,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p32,mipo,26_01_26,1,,,,,,,,,,,,,,,,,,,,
jacfre,ice,26_01_26,1,,,,,,,,,,,,,,,,,,,,
th,ice,26_01_26,1,,,,,,,,,,,,,,,,,,,,
jacfre,th,26_01_26,1,,,,,,,,,,,,,,,,,,,,
jacfre,mipo,26_01_26,3,,,,,,,,,,,,,,,,,,,,
th,mipo,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p33,pair,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p33,vene,26_01_26,1,,,,,,,,,,,,,,,,,,,,
pair,vene,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p34,t,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p34,pair,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p34,sk,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p34,kole,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p34,lee,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p34,usa,26_01_26,1,,,,,,,,,,,,,,,,,,,,
sk,t,26_01_26,2,,,,,,,,,,,,,,,,,,,,
sk,pair,26_01_26,2,,,,,,,,,,,,,,,,,,,,
kole,pair,26_01_26,2,,,,,,,,,,,,,,,,,,,,
lee,pair,26_01_26,3,,,,,,,,,,,,,,,,,,,,
usa,t,26_01_26,1,,,,,,,,,,,,,,,,,,,,
usa,pair,26_01_26,1,,,,,,,,,,,,,,,,,,,,
usa,sk,26_01_26,2,,,,,,,,,,,,,,,,,,,,
usa,kole,26_01_26,2,,,,,,,,,,,,,,,,,,,,
usa,lee,26_01_26,1,,,,,,,,,,,,,,,,,,,,
kole,lee,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p35,suc,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p35,endor,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p35,ta,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p35,ep,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p35,sec,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p35,mida,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p35,grwa,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p35,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p35,r,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p35,cong,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p35,ushor,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p35,ind,26_01_26,1,,,,,,,,,,,,,,,,,,,,
mida,endor,26_01_26,1,,,,,,,,,,,,,,,,,,,,
mida,suc,26_01_26,1,,,,,,,,,,,,,,,,,,,,
mida,ta,26_01_26,1,,,,,,,,,,,,,,,,,,,,
mida,ep,26_01_26,1,,,,,,,,,,,,,,,,,,,,
mida,sec,26_01_26,1,,,,,,,,,,,,,,,,,,,,
grwa,suc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
d,suc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
grwa,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
d,cong,26_01_26,2,,,,,,,,,,,,,,,,,,,,
d,ushor,26_01_26,2,,,,,,,,,,,,,,,,,,,,
mida,r,26_01_26,1,,,,,,,,,,,,,,,,,,,,
mida,ind,26_01_26,1,,,,,,,,,,,,,,,,,,,,
grwa,ind,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p36,suc,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p36,ta,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p36,ep,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p36,sec,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p36,vene,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p36,isr,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p36,ky,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p36,eg,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p36,tm,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p36,nm,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p36,r,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p36,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p36,cong,26_01_26,2,,,,,,,,,,,,,,,,,,,,
eg,suc,26_01_26,1,,,,,,,,,,,,,,,,,,,,
eg,ta,26_01_26,1,,,,,,,,,,,,,,,,,,,,
eg,ep,26_01_26,1,,,,,,,,,,,,,,,,,,,,
eg,sec,26_01_26,1,,,,,,,,,,,,,,,,,,,,
eg,vene,26_01_26,1,,,,,,,,,,,,,,,,,,,,
tm,suc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
tm,isr,26_01_26,2,,,,,,,,,,,,,,,,,,,,
d,suc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
eg,tm,26_01_26,2,,,,,,,,,,,,,,,,,,,,
tm,r,26_01_26,2,,,,,,,,,,,,,,,,,,,,
tm,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
nm,vene,26_01_26,2,,,,,,,,,,,,,,,,,,,,
eg,r,26_01_26,1,,,,,,,,,,,,,,,,,,,,
eg,cong,26_01_26,1,,,,,,,,,,,,,,,,,,,,
eg,ky,26_01_26,1,,,,,,,,,,,,,,,,,,,,
tm,ky,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p37,caaa,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p37,tkc,26_01_26,1,,,,,,,,,,,,,,,,,,,,
caaa,tkc,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p38,tva,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p38,w,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p38,meli,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p38,mt,26_01_26,1,,,,,,,,,,,,,,,,,,,,
tva,meli,26_01_26,1,,,,,,,,,,,,,,,,,,,,
w,mt,26_01_26,1,,,,,,,,,,,,,,,,,,,,
meli,mt,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p39,ice,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p39,le,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p39,walz,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p39,th,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p39,minn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p39,wa,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p39,tenn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p39,loui,26_01_26,1,,,,,,,,,,,,,,,,,,,,
walz,ice,26_01_26,1,,,,,,,,,,,,,,,,,,,,
walz,le,26_01_26,1,,,,,,,,,,,,,,,,,,,,
th,ice,26_01_26,1,,,,,,,,,,,,,,,,,,,,
th,le,26_01_26,1,,,,,,,,,,,,,,,,,,,,
walz,th,26_01_26,1,,,,,,,,,,,,,,,,,,,,
walz,minn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
th,minn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
walz,wa,26_01_26,1,,,,,,,,,,,,,,,,,,,,
walz,tenn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
walz,loui,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p40,ice,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p40,cor,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p40,js,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p40,th,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p40,io,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p40,soma,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p40,minn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p40,doj,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p40,cong,26_01_26,1,,,,,,,,,,,,,,,,,,,,
th,ice,26_01_26,1,,,,,,,,,,,,,,,,,,,,
th,le,26_01_26,1,,,,,,,,,,,,,,,,,,,,
io,soma,26_01_26,2,,,,,,,,,,,,,,,,,,,,
io,cor,26_01_26,2,,,,,,,,,,,,,,,,,,,,
io,js,26_01_26,2,,,,,,,,,,,,,,,,,,,,
doj,js,26_01_26,1,,,,,,,,,,,,,,,,,,,,
cong,js,26_01_26,1,,,,,,,,,,,,,,,,,,,,
th,minn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
io,doj,26_01_26,2,,,,,,,,,,,,,,,,,,,,
cong,io,26_01_26,2,,,,,,,,,,,,,,,,,,,,
io,minn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p41,fk,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p41,mc,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p41,nyt,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p41,abc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p41,nbc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p41,cbs,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p41,cnn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p41,msnbc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p41,wsj,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p41,fn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
fk,nyt,26_01_26,2,,,,,,,,,,,,,,,,,,,,
fk,abc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
fk,nbc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
fk,cbs,26_01_26,2,,,,,,,,,,,,,,,,,,,,
fk,chn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
fk,msnbc,26_01_26,2,,,,,,,,,,,,,,,,,,,,
mc,fn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
mc,wsj,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p42,fball,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p42,nfl,26_01_26,2,,,,,,,,,,,,,,,,,,,,
fball,nfl,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p43,ice,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p43,le,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p43,cr,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p43,jb,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p43,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p43,r,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p43,lopo,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p43,tx,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p43,fl,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p43,tenn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p43,loui,26_01_26,1,,,,,,,,,,,,,,,,,,,,
jb,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
jb,ice,26_01_26,2,,,,,,,,,,,,,,,,,,,,
d,ice,26_01_26,2,,,,,,,,,,,,,,,,,,,,
d,le,26_01_26,2,,,,,,,,,,,,,,,,,,,,
r,ice,26_01_26,1,,,,,,,,,,,,,,,,,,,,
r,le,26_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,le,26_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,cr,26_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,lopo,26_01_26,1,,,,,,,,,,,,,,,,,,,,
d,r,26_01_26,2,,,,,,,,,,,,,,,,,,,,
ice,tx,26_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,fl,26_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,tenn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,loui,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p44,ice,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p44,le,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p44,cr,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p44,walz,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p44,jacfre,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p44,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p44,r,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p44,cong,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p44,tenn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p44,fedg,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p44,wa,26_01_26,1,,,,,,,,,,,,,,,,,,,,
walz,le,26_01_26,2,,,,,,,,,,,,,,,,,,,,
walz,ice,26_01_26,2,,,,,,,,,,,,,,,,,,,,
jacfre,le,26_01_26,2,,,,,,,,,,,,,,,,,,,,
jacfre,ice,26_01_26,2,,,,,,,,,,,,,,,,,,,,
d,ice,26_01_26,2,,,,,,,,,,,,,,,,,,,,
r,ice,26_01_26,1,,,,,,,,,,,,,,,,,,,,
r,le,26_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,le,26_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,wa,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p45,cor,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p45,minn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p45,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
cor,minn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
cor,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
minn,d,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p46,pair,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p46,chn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
p46,can,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p46,icehock,26_01_26,3,,,,,,,,,,,,,,,,,,,,
pair,chn,26_01_26,1,,,,,,,,,,,,,,,,,,,,
pair,can,26_01_26,2,,,,,,,,,,,,,,,,,,,,
can,icehock,26_01_26,2,,,,,,,,,,,,,,,,,,,,
chn,can,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p47,t,26_01_26,3,,,,,,,,,,,,,,,,,,,,
p47,pair,26_01_26,,,,,,,,,,,,,,,,,,,,,
p47,chn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p47,can,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p47,usa,26_01_26,1,,,,,,,,,,,,,,,,,,,,
pair,chn,26_01_26,2,,,,,,,,,,,,,,,,,,,,
pair,can,26_01_26,2,,,,,,,,,,,,,,,,,,,,
t,usa,26_01_26,1,,,,,,,,,,,,,,,,,,,,
chn,can,26_01_26,2,,,,,,,,,,,,,,,,,,,,
can,usa,26_01_26,1,,,,,,,,,,,,,,,,,,,,
chn,usa,26_01_26,2,,,,,,,,,,,,,,,,,,,,
p48,ma,25_01_26,3,,,,,,,,,,,,,,,,,,,,
p48,cor,25_01_26,3,,,,,,,,,,,,,,,,,,,,
p48,jaco,25_01_26,1,,,,,,,,,,,,,,,,,,,,
p48,maba,25_01_26,1,,,,,,,,,,,,,,,,,,,,
p48,jasm,25_01_26,2,,,,,,,,,,,,,,,,,,,,
p48,minn,25_01_26,2,,,,,,,,,,,,,,,,,,,,
jaco,ma,25_01_26,1,,,,,,,,,,,,,,,,,,,,
jaco,cor,25_01_26,1,,,,,,,,,,,,,,,,,,,,
maba,ma,25_01_26,1,,,,,,,,,,,,,,,,,,,,
jasm,cor,25_01_26,2,,,,,,,,,,,,,,,,,,,,
jaco,maba,25_01_26,1,,,,,,,,,,,,,,,,,,,,
jaco,jasm,25_01_26,2,,,,,,,,,,,,,,,,,,,,
jaco,minn,25_01_26,3,,,,,,,,,,,,,,,,,,,,
jasm,minn,25_01_26,2,,,,,,,,,,,,,,,,,,,,
p49,caaa,25_01_26,3,,,,,,,,,,,,,,,,,,,,
p49,caaa,25_01_26,3,,,,,,,,,,,,,,,,,,,,
p49,usdod,25_01_26,3,,,,,,,,,,,,,,,,,,,,
p49,usss,25_01_26,3,,,,,,,,,,,,,,,,,,,,
p49,wh,25_01_26,3,,,,,,,,,,,,,,,,,,,,
p49,nthp,25_01_26,2,,,,,,,,,,,,,,,,,,,,
caaa,usdod,25_01_26,3,,,,,,,,,,,,,,,,,,,,
caaa,usss,25_01_26,3,,,,,,,,,,,,,,,,,,,,
caaa,wh,25_01_26,1,,,,,,,,,,,,,,,,,,,,
nthp,wh,25_01_26,2,,,,,,,,,,,,,,,,,,,,
usdod,usss,25_01_26,1,,,,,,,,,,,,,,,,,,,,
p50,ice,25_01_26,3,,,,,,,,,,,,,,,,,,,,
p50,jofah,25_01_26,1,,,,,,,,,,,,,,,,,,,,
p50,fn,25_01_26,1,,,,,,,,,,,,,,,,,,,,
p50,minn,25_01_26,2,,,,,,,,,,,,,,,,,,,,
ice,jofah,25_01_26,1,,,,,,,,,,,,,,,,,,,,
jofah,fn,25_01_26,1,,,,,,,,,,,,,,,,,,,,
minn,jofah,25_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,emerg,24_01_26,3,,,,,,,,,,,,,,,,,,,,
p51,tenn,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,geo,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,ind,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,loui,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,ky,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,nocarl,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,mary,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,ar,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,va,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,miss,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,fema,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p51,usa,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,tenn,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,geo,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,ind,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,loui,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,ky,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,nocarl,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,mary,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,ar,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,va,24_01_26,1,,,,,,,,,,,,,,,,,,,,
emerg,miss,24_01_26,1,,,,,,,,,,,,,,,,,,,,
usa,fema,24_01_26,1,,,,,,,,,,,,,,,,,,,,
p52,cor,24_01_26,3,,,,,,,,,,,,,,,,,,,,
p52,minn,24_01_26,2,,,,,,,,,,,,,,,,,,,,
p52,cal,24_01_26,2,,,,,,,,,,,,,,,,,,,,
p52,d,24_01_26,2,,,,,,,,,,,,,,,,,,,,
cor,minn,24_01_26,2,,,,,,,,,,,,,,,,,,,,
cor,cal,24_01_26,2,,,,,,,,,,,,,,,,,,,,
