from,to,date,rating,,,,,,,,,,,,,,,,,,,,
d,cr,31_01_26,2,,,,,,,,,,,,,,,,,,,,
r,le,31_01_26,1,,,,,,,,,,,,,,,,,,,,
r,nas,31_01_26,1,,,,,,,,,,,,,,,,,,,,
r,kn,31_01_26,1,,,,,,,,,,,,,,,,,,,,
biadm,cr,31_01_26,2,,,,,,,,,,,,,,,,,,,,
biadm,nas,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p6,cel,31_01_26,3,,,,,,,,,,,,,,,,,,,,
p6,tv,31_01_26,3,,,,,,,,,,,,,,,,,,,,
p6,mt,31_01_26,1,,,,,,,,,,,,,,,,,,,,
mt,tv,31_01_26,1,,,,,,,,,,,,,,,,,,,,
mt,cel,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p6,w,31_01_26,3,,,,,,,,,,,,,,,,,,,,
w,mt,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p7,lw,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p7,vit,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p7,dp,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p7,d,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p7,suc,31_01_26,3,,,,,,,,,,,,,,,,,,,,
p7,r,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p7,tx,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p7,af,31_01_26,3,,,,,,,,,,,,,,,,,,,,
vit,af,31_01_26,1,,,,,,,,,,,,,,,,,,,,
lw,af,31_01_26,1,,,,,,,,,,,,,,,,,,,,
lw,r,31_01_26,1,,,,,,,,,,,,,,,,,,,,
lw,tx,31_01_26,1,,,,,,,,,,,,,,,,,,,,
tx,usa,31_01_26,1,,,,,,,,,,,,,,,,,,,,
lw,usa,31_01_26,1,,,,,,,,,,,,,,,,,,,,
dp,suc,31_01_26,1,,,,,,,,,,,,,,,,,,,,
dp,r,31_01_26,1,,,,,,,,,,,,,,,,,,,,
dp,lw,31_01_26,1,,,,,,,,,,,,,,,,,,,,
vit,af,31_01_26,1,,,,,,,,,,,,,,,,,,,,
vit,lw,31_01_26,1,,,,,,,,,,,,,,,,,,,,
d,lw,31_01_26,2,,,,,,,,,,,,,,,,,,,,
d,suc,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p8,bls,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p8,bm,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p8,tcoea,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p8,ab,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p8,pol,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p8,amerf,31_01_26,2,,,,,,,,,,,,,,,,,,,,
p8,cor,31_01_26,3,,,,,,,,,,,,,,,,,,,,
bls,cor,31_01_26,2,,,,,,,,,,,,,,,,,,,,
bls,ab,31_01_26,2,,,,,,,,,,,,,,,,,,,,
bls,pol,31_01_26,2,,,,,,,,,,,,,,,,,,,,
bls,amerf,31_01_26,2,,,,,,,,,,,,,,,,,,,,
bls,bm,31_01_26,1,,,,,,,,,,,,,,,,,,,,
tcoea,bm,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p8,if,31_01_26,3,,,,,,,,,,,,,,,,,,,,
if,ab,31_01_26,2,,,,,,,,,,,,,,,,,,,,
if,pol,31_01_26,2,,,,,,,,,,,,,,,,,,,,
if,amerf,31_01_26,2,,,,,,,,,,,,,,,,,,,,
aogo,bm,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p8,aogo,31_01_26,1,,,,,,,,,,,,,,,,,,,,
p9,aogo,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p9,frs,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p9,rr,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p9,cw,30_01_26,1,,,,,,,,,,,,,,,,,,,,
cw,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
frs,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
rr,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
cw,frs,30_01_26,1,,,,,,,,,,,,,,,,,,,,
rr,frs,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p10,aogo,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p10,kh,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p10,wh,30_01_26,1,,,,,,,,,,,,,,,,,,,,
