from,to,date,rating
p27,t,06_01_25,3
p27,r,06_01_25,3
p27,af,06_01_25,3
p28,usst,06_01_25,1
usst,t,06_01_25,1
p28,t,06_01_25,3
p29,usco,06_01_25,1
usco,r,06_01_25,1
p29,r,06_01_25,3
p29,hist,06_01_25,3
p29,af,06_01_25,3
p30,twp,06_01_25,2
twp,fn,06_01_25,2
twp,mc,06_01_25,2
twp,t,06_01_25,2
p30,fn,06_01_25,3
p30,mc,06_01_25,3
p30,t,06_01_25,3
p31,jb,06_01_25,2
jb,lp,06_01_25,2
jb,ep,06_01_25,2
jb,clicha,06_01_25,2
p31,lp,06_01_25,3
p31,ep,06_01_25,3
p31,clicha,06_01_25,3
p31,af,06_01_25,3
p32,can,06_01_25,3
p32,jtr,06_01_25,2
jtr,can,06_01_25,2
can,t,06_01_25,3
can,nas,06_01_25,3
p32,t,06_01_25,3
p32,nas,06_01_25,3
p32,ta,06_01_25,3
p32,pair,06_01_25,3
p33,grl,07_01_25,1
p33,dtjr,07_01_25,1
p33,rep,07_01_25,1
dtjr,grl,07_01_25,1
rep,grl,07_01_25,1
grl,pair,07_01_25,1
grl,nas,07_01_25,1
p33,pair,07_01_25,3
p33,nas,07_01_25,3
p33,af,07_01_25,3
p34,jnj,07_01_25,1
p34,usg,07_01_25,1
p34,edony,07_01_25,1
jnj,usg,07_01_25,1
jnj,edony,07_01_25,1
usg,aogo,07_01_25,1
jnj,aogo,07_01_25,1
p34,aogo,07_01_25,3
p35,grl,07_01_25,1
p35,dtjr,07_01_25,1
p35,rep,07_01_25,1
dtjr,grl,07_01_25,1
rep,grl,07_01_25,1
grl,pair,07_01_25,1
grl,nas,07_01_25,1
p35,pair,07_01_25,3
p35,nas,07_01_25,3
p35,af,07_01_25,3
p36,can,08_01_25,1
p37,gn,08_01_25,2
p37,cal,08_01_25,3
gn,ep,08_01_25,2
gn,clicha,08_01_25,2
gn,d,08_01_25,2
cal,ep,08_01_25,3
p37,ep,08_01_25,3
p37,clicha,08_01_25,3
p37,dp,08_01_25,3
p37,pa,08_01_25,3
p38,gn,08_01_25,2
p38,la,08_01_25,2
gn,ep,08_01_25,2
la,ep,08_01_25,2
p38,ep,08_01_25,3
p38,pa,08_01_25,3
p39,jb,08_01_25,2
p39,fema,08_01_25,2
jb,ep,08_01_25,2
fema,ep,08_01_25,2
p39,ep,08_01_25,3
p39,pa,08_01_25,3
p40,jb,08_01_25,2
p40,gn,08_01_25,2
p40,la,08_01_25,2
jb,ep,08_01_25,2
gn,ep,08_01_25,2
la,ep,08_01_25,2
p40,ep,08_01_25,3
p40,pa,08_01_25,3
p40,hist,08_01_25,3
p41,jpat,08_01_25,1
p41,rfi,08_01_25,1
jpat,eco,08_01_25,1
rfi,eco,08_01_25,1
p41,eco,08_01_25,3
p42,jn,09_01_25,1
p42,camp,09_01_25,3
p42,endor,09_01_25,3
endor,jn,09_01_25,1
jn,camp,09_01_25,1
p43,iwr,09_01_25,3
p44,gn,09_01_25,2
p44,usa,09_01_25,3
gn,wf,09_01_25,2
usa,wf,09_01_25,2
gn,pa,09_01_25,2
p44,pa,09_01_25,3
p45,gn,09_01_25,2
p45,kaba,09_01_25,2
p45,jb,09_01_25,2
p45,fema,09_01_25,2
p45,la,09_01_25,2
p45,wf,09_01_25,3
p45,pa,09_01_25,3
gn,wf,09_01_25,2
kaba,wf,09_01_25,2
jb,wf,09_01_25,2
fema,wf,09_01_25,2
la,wf,09_01_25,2
jb,pa,09_01_25,2
p46,gn,09_01_25,2
p46,cal,09_01_25,3
gn,wf,09_01_25,2
cal,wf,09_01_25,3
p46,wf,09_01_25,3
p46,pa,09_01_25,3
p47,mcm,09_01_25,1
p47,venepeo,09_01_25,1
p47,vac,09_01_25,1
p47,eg,09_01_25,1
mcm,ven,09_01_25,1
eg,ven,09_01_25,1
vac,ven,09_01_25,1
p47,ven,09_01_25,3
p47,pair,09_01_25,3
p48,cjtr,09_01_25,1
p48,swe,09_01_25,1
p48,usg,09_01_25,1
cjtr,usg,09_01_25,1
cjtr,swe,09_01_25,1
usg,aogo,09_01_25,1
p48,aogo,09_01_25,3
p48,pair,09_01_25,3
p49,lt,10_01_25,1
p49,hkd,10_01_25,1
p49,doj,10_01_25,1
lt,doj,10_01_25,1
hkd,doj,10_01_25,1
lt,hkd,10_01_25,1
doj,aogo,10_01_25,1
lt,aogo,10_01_25,1
p49,aogo,10_01_25,3
p50,grl,10_01_25,1
p50,dtjr,10_01_25,1
p50,rep,10_01_25,1
dtjr,grl,10_01_25,1
rep,grl,10_01_25,1
grl,pair,10_01_25,1
p50,pair,10_01_25,3
p51,samb,10_01_25,1
p51,dova,10_01_25,1
samb,dova,10_01_25,1
samb,aogo,10_01_25,1
dova,aogo,10_01_25,1
p51,aogo,10_01_25,3
p52,usa,10_01_25,3
p52,scot,10_01_25,1
scot,lp,11_01_25,1
scot,jsmi,11_01_25,1
p52,lp,11_01_25,3
p52,js,11_01_25,3
p52,cor,11_01_25,3
p52,pa,11_01_25,3
p52,af,11_01_25,3
p54,d,11_01_25,2
p54,doj,11_01_25,2
p54,usa,11_01_25,3
d,lp,11_01_25,2
d,cor,11_01_25,2
doj,lp,11_01_25,2
doj,cor,11_01_25,2
p54,lp,11_01_25,3
p54,cor,11_01_25,3
p54,pa,11_01_25,3
p54,af,11_01_25,3
p55,edr,11_01_25,1
p55,eatf,11_01_25,1
edr,eatf,11_01_25,1
eatf,ep,11_01_25,1
eatf,wt,11_01_25,1
eatf,aogo,11_01_25,1
edr,aogo,11_01_25,1
p55,ep,11_01_25,3
p55,wt,11_01_25,3
p55,caaa,11_01_25,3
p55,aogo,11_01_25,3
p56,blbr,11_01_25,1
p56,sba,11_01_25,1
blbr,sba,11_01_25,1
sba,aogo,11_01_25,1
blbr,aogo,11_01_25,1
p56,aogo,11_01_25,3
p57,af,11_01_25,3
p57,sgb,11_01_25,1
p57,usdotrans,11_01_25,1
sgb,usdotrans,11_01_25,1
usdotrans,aogo,11_01_25,1
sgb,aogo,11_01_25,1
p57,aogo,11_01_25,3
p58,kmc,11_01_25,1
p58,usdoi,11_01_25,1
kmc,usdoi,11_01_25,1
usdoi,aogo,11_01_25,1
kmc,aogo,11_01_25,1
p58,aogo,11_01_25,3
p59,jd,11_01_25,1
p59,usdoe,11_01_25,1
jd,usdoe,11_01_25,1
usdoe,aogo,11_01_25,1
jd,aogo,11_01_25,1
p59,aogo,11_01_25,3
p60,cm,11_01_25,1
p60,sba,11_01_25,1
sba,aogo,11_01_25,1
cm,aogo,11_01_25,1
p60,aogo,11_01_25,3
p61,pl,11_01_25,1
p61,dova,11_01_25,1
pl,dova,11_01_25,1
pl,aogo,11_01_25,1
dova,aogo,11_01_25,1
p61,aogo,11_01_25,3
p62,lp,11_01_25,3
p62,pa,11_01_25,3
p63,d,11_01_25,2
p63,lp,11_01_25,3
p63,pa,11_01_25,3
d,lp,11_01_25,2
d,pa,11_01_25,2
p64,lp,11_01_25,3
p64,pa,11_01_25,3
p65,df,11_01_25,1
p65,epa,11_01_25,1
df,epa,11_01_25,1
epa,aogo,11_01_25,1
df,aogo,11_01_25,1
p65,aogo,11_01_25,3
p66,jsmi,12_01_25,2
p66,doj,12_01_25,2
jsmi,doj,12_01_25,2
jsmi,lp,12_01_25,2
jsmi,cor,12_01_25,2
doj,lp,12_01_25,2
p66,lp,12_01_25,3
p67,la,12_01_25,2
p67,usa,12_01_25,3
la,wf,12_01_25,2
p67,wf,12_01_25,3
p67,pa,12_01_25,3
p67,hist,12_01_25,3
p68,jsmi,12_01_25,2
jsmi,lp,12_01_25,2
jsmi,cor,12_01_25,2
p68,lp,12_01_25,3
p68,cor,12_01_25,3
p68,pa,12_01_25,3
p69,rg,12_01_25,1
p70,jsmi,12_01_25,2
p70,doj,12_01_25,2
jsmi,doj,12_01_25,2
jsmi,lp,12_01_25,2
jsmi,cor,12_01_25,2
doj,lp,12_01_25,2
p70,lp,12_01_25,3
p70,cor,12_01_25,3
p70,pa,12_01_25,3
p71,amck,13_01_25,2
p71,poli,13_01_25,2
p71,airf,13_01_25,2
amck,aogo,13_01_25,2
poli,mc,13_01_25,2
poli,fn,13_01_25,2
p71,aogo,13_01_25,3
p71,fn,13_01_25,3
p71,mc,13_01_25,3
p72,gn,14_01_25,2
gn,wf,14_01_25,2
p72,wf,14_01_25,3
p72,pa,14_01_25,3
p73,seme,14_01_25,2
p73,d,14_01_25,2
p73,nbc,14_01_25,2
p73,msnbc,14_01_25,2
p73,comc,14_01_25,2
seme,mc,14_01_25,2
seme,d,14_01_25,2
nbc,mc,14_01_25,2
msnbc,mc,14_01_25,2
comc,mc,14_01_25,2
nbc,fn,14_01_25,2
msnbc,fn,14_01_25,2
p73,mc,14_01_25,3
p73,fn,14_01_25,3
p73,pa,14_01_25,3
p74,jsmi,14_01_25,2
p74,jb,14_01_25,2
p74,np,14_01_25,2
p74,jan6th,14_01_25,2
jsmi,lp,14_01_25,2
jsmi,cor,14_01_25,2
jb,lp,14_01_25,2
np,lp,14_01_25,2
np,cor,14_01_25,2
jan6th,lp,14_01_25,2
jan6th,cor,14_01_25,2
p74,lp,14_01_25,3
p74,cor,14_01_25,3
p74,pa,14_01_25,3
p75,jsmi,14_01_25,2
p75,jan6th,14_01_25,2
jsmi,lp,14_01_25,2
jsmi,cor,14_01_25,2
jan6th,lp,14_01_25,2
jan6th,cor,14_01_25,2
p75,lp,14_01_25,3
p75,cor,14_01_25,3
p75,pa,14_01_25,3
p76,af,14_01_25,3
p76,usdod,14_01_25,1
p77,phe,14_01_25,1
usdod,phe,14_01_25,1
usdod,aogo,14_01_25,1
phe,aogo,14_01_25,1
p77,aogo,14_01_25,3
p77,usm,14_01_25,3
p78,gn,14_01_25,2
gn,wf,14_01_25,2
p78,wf,14_01_25,3
p78,pa,14_01_25,3
p79,irs,14_01_25,2
p79,ers,14_01_25,1
irs,ta,14_01_25,2
ers,ta,14_01_25,1
ers,t,14_01_25,1
p79,ta,14_01_25,3
p79,t,14_01_25,3
p79,af,14_01_25,3
p80,trad,14_01_25,3
p80,rds,14_01_25,1
rds,trad,14_01_25,1
p81,ks,15_01_25,1
p81,usdol,15_01_25,1
ks,usdol,15_01_25,1
usdol,aogo,15_01_25,1
ks,usdol,15_01_25,1
p81,aogo,15_01_25,3
p82,ila,15_01_25,1
p82,lu,15_01_25,1
p82,endor,15_01_25,1
ila,lu,15_01_25,1
p83,wt,15_01_25,2
p83,eco,15_01_25,2
p83,env,15_01_25,2
p83,ep,15_01_25,3
wt,ep,15_01_25,2
wt,env,15_01_25,2
wt,eco,15_01_25,2
p84,ham,15_01_25,3
p84,isr,15_01_25,3
p84,pair,15_01_25,3
p84,war,15_01_25,3
p84,isr,15_01_25,3
p84,sw,15_01_25,1
p84,usa,15_01_25,3
p84,war,15_01_25,3
p84,nas,15_01_25,3
p84,pair,15_01_25,3
isr,war,15_01_25,1
isr,pair,15_01_25,1
sw,nas,15_01_25,1
usa,pair,15_01_25,1
usa,nas,15_01_25,1
p85,usa,15_01_25,1
p85,isr,15_01_25,1
p85,gaz,15_01_25,2
p85,host,15_01_25,1
p85,swa,15_01_25,1
p85,abac,15_01_25,1
p85,fp,15_01_25,3
usa,isr,15_01_25,1
usa,gaz,15_01_25,2
isr,gaz,15_01_25,2
swa,isr,15_01_25,1
swa,fp,15_01_25,1
abac,fp,15_01_25,1
usa,fp,15_01_25,1
isr,fp,15_01_25,1
p86,ila,15_01_25,1
p86,lu,15_01_25,1
p86,endor,15_01_25,1
ila,lu,15_01_25,1
p87,usg,16_01_25,1
p87,afnp,16_01_25,2
p87,cko,16_01_25,2
p87,jobo,16_01_25,2
p87,nha,16_01_25,2
p87,mpe,16_01_25,2
p87,dch,16_01_25,2
p87,lc,16_01_25,2
p87,mro,16_01_25,2
p87,pry,16_01_25,2
p87,mmi,16_01_25,2
p87,jma,16_01_25,2
p87,mes,16_01_25,2
p87,aogo,16_01_25,3
p87,pa,16_01_25,3
p87,af,16_01_25,3
p88,wllg,16_01_25,1
p88,usdoe,16_01_25,1
wllg,usdoe,16_01_25,1
usdoe,aogo,16_01_25,1
wllg,aogo,16_01_25,1
p88,aogo,16_01_25,3
p89,dg,16_01_25,1
p89,usdoe,16_01_25,1
dg,usdoe,16_01_25,1
usdoe,aogo,16_01_25,1
dg,aogo,16_01_25,1
p89,aogo,16_01_25,3
p90,bw,16_01_25,1
p90,usdoe,16_01_25,1
p90,nnsa,16_01_25,1
bw,usdoe,16_01_25,1
bw,nnsa,16_01_25,1
usdoe,aogo,16_01_25,1
nnsa,aogo,16_01_25,1
bw,aogo,16_01_25,1
p90,aogo,16_01_25,3
p91,bipu,16_01_25,1
p91,fhfa,16_01_25,1
bipu,fhfa,16_01_25,1
fhfa,aogo,16_01_25,1
bipu,aogo,16_01_25,1
p91,aogo,16_01_25,3
p92,jv,16_01_25,1
p92,mg,16_01_25,1
p92,sys,16_01_25,1
p92,hol,16_01_25,1
jv,hol,16_01_25,1
mg,hol,16_01_25,1
sys,hol,16_01_25,1
jv,aogo,16_01_25,1
mg,aogo,16_01_25,1
sys,aogo,16_01_25,1
p92,aogo,16_01_25,3
p93,cst,16_01_25,1
p93,sba,16_01_25,1
cst,sba,16_01_25,1
sba,aogo,16_01_25,1
cst,aogo,16_01_25,1
p93,aogo,16_01_25,3
p94,ll,16_01_25,1
p94,usdoa,16_01_25,1
ll,usdoa,16_01_25,1
usdoa,aogo,16_01_25,1
ll,aogo,16_01_25,1
p94,aogo,16_01_25,3
p95,ot,16_01_25,1
p95,fcc,16_01_25,1
ot,fcc,16_01_25,1
fcc,aogo,16_01_25,1
ot,aogo,16_01_25,1
p95,aogo,16_01_25,3
p96,trmi,16_01_25,1
p96,usaf,16_01_25,1
trmi,usaf,16_01_25,1
usaf,aogo,16_01_25,1
trmi,aogo,16_01_25,1
p96,aogo,16_01_25,3
p97,dh,16_01_25,1
p97,usdoa,16_01_25,1
dh,usdoa,16_01_25,1
usdoa,aogo,16_01_25,1
dh,aogo,16_01_25,1
p97,aogo,16_01_25,3
